isseychad,@adballal ... So this is what I was talking about. https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
Rafiulalam0777,Hi @AllIndiaBakchod !! It's your fan from Bangladesh... came by to say HI.. keep going and continue Entertaining... :) :),
pratham2504,#Email #IndianMade #ShivaFactOrFiction #IndiaInnovators @thetanmay @gkhamba @AllIndiaBakchod https://www.youtube.com/watch?t=87&v=nZ1XVwtCUnI … pic.twitter.com/N2w2ArnTFs,
pratham2504,What a mockery of a scientist has been made @AllIndiaBakchod #ShivaFActOrFiction #Shame #AnotherDownInIndianPolitics https://youtu.be/nZ1XVwtCUnI ,
bhatiajs,@TheViralFever @AllIndiaBakchod TVF and AIB together on stage will be viewers delight. Like coming together of 3 Khans in a movie,
sidgrover25,If your toughest competitor says you're good, you must be damn good. High Five @AllIndiaBakchod . #TVFPitchers https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
subhapradam,@ChhotaThalaiva @TheViralFever @AllIndiaBakchod This is the right moment to quip "Chal Pagle!!!! Ab Rulayaga kya",
suranakamal,Listening Mummy Daddy song... Song on mind is @AllIndiaBakchod 's Every Bollywood Party Song ;-),
PurpleReveries,@ashie1704 okay! But.. First watch all the episodes and then comment! Yehi na ho baad mein achha na lge @AllIndiaBakchod @TheViralFever h,
MeSajanKairon,Rate it 10 https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
AllIndiaBakchod,@fahadmh All good :) Glad you like it!,
rammahaseth,@AllIndiaBakchod @TheViralFever Just did,Its above 'Friends' and 'Seinfield'. @IMDb shld revisit Algorithm ! :) pic.twitter.com/P19cFHVIrl,
humouroustwist,Wow https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
trulydj,@AllIndiaBakchod @ChhotaThalaiva good to see the all new #ViralBakchod love affair... hope it's not shortlived!,
VivekMittalSlg,. @AllIndiaBakchod @ChhotaThalaiva Yeh kaam tik kiya.. aage se bhi TVF ke har Show ka link bhi Share kar diyo.. #TrueBhaiChara #TVFPitchers,
fundaatweb,Do it now... https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
VivekMittalSlg,. @AllIndiaBakchod beta @TheViralFever wale Serif Daru pene ke liye Goa nahi gaye hai..!! Bhai Rahne de AIB k Samaj k bahar ki baat..!!,
AllIndiaBakchod,Done! http://tvfplay.com/video/detail/477/TVF-Pitchers-S01E05-Where-Magic-Happens … https://twitter.com/ChhotaThalaiva/status/639851623024463872 …,
AllIndiaBakchod,@TheViralFever kaash aa pate. Lekin spirit mein hum bhi saath hai. Bambai se 4 bottle hum bhi down karenge :),
TheViralFever,@AllIndiaBakchod come to Goa tomorrow for the party because aakhir tu bhi beer hai! Ho jaye?,
VivekMittalSlg,Promotion se aaye hua Ratings se Zayada kimat Merit se aaye hua Rating ki hoti hai @ChhotaThalaiva @AllIndiaBakchod https://twitter.com/ChhotaThalaiva/status/639851623024463872 …,
WonderingRam,@ChhotaThalaiva @AllIndiaBakchod This is like SRK and Salman talking. Thoda Pyar, Thoda Troll #friends #enemies,
VivekMittalSlg,Sahi kaha bhai @ChhotaThalaiva IMDB mein koi bhi rating aaye..but Audience love is more important ! @AllIndiaBakchod https://twitter.com/ChhotaThalaiva/status/639851623024463872 …,
jagatkandha,Retweeted Biswapati Sarkar ( @ChhotaThalaiva): @AllIndiaBakchod Thanks for all the love. But yeh zyada ho gaya... http://fb.me/47VsYHfQ1 ,
ChhotaThalaiva,@AllIndiaBakchod Thanks for all the love. But yeh zyada ho gaya hai. IMDb ki jagah TVFplay ka link share kar dete toh zyada khushi milti. :P,
PurpleReveries,@ashie1704 @AllIndiaBakchod @TheViralFever maybe you'll watch the whole show only when it reaches 10 rating :P,
_cleon23,@AllIndiaBakchod @TheViralFever stretching it too much noe,
_man1k,Pitchers is the most awesome series from India till date But @TheViralFever team have potential to make a better one https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
carlos_anubis,*smh* Don't bother, the IMDb algorithm doesn't work that way. You can't spam into the Top 250! https://twitter.com/AllIndiaBakchod/status/639830683561492480 …,
mkhanna90,@AllIndiaBakchod You guys have to publicize the Comedy hunt a lot more.,
hellothereblues,'All India Bakchod' should rename themselves 'We All Are Bakchod',
SayMazhar,They did moral talks on debates and talk shows. Now they are promoting there friends and furniture. - A big fan of @AllIndiaBakchod,
hellothereblues,That's like saying Taj Mahal is the best wonder because all Indians are voting for it. https://twitter.com/allindiabakchod/status/639829987588046848 …,
farziRastravadi,@AllIndiaBakchod @thetanmay @TheViralFever please provide link for voting - आम अलसी आदमी,
Transmediadream,@henryjenkins All India Bakchod: Changing India…One Gag at a Time: The  following excerpt from my ... http://bit.ly/1Ohz6eq  #transmedia,
durgeshgarg,Excellent show. Great acting. Must watch. https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
SayMazhar,. @AllIndiaBakchod Baked by Scoopwhoop was also better. So just dont kill others. You advocate Net Neutral. Just dont do it @TheViralFever,
eggjhatlee,@AllIndiaBakchod @TheViralFever aaah must be good to be like Steve Jobs and Bill Gates at the start of their career with these mushy msgs!!,
bahlprateek,@AllIndiaBakchod @TheViralFever loved pitchers. Bt seeing it above shows like friends is a joke.Rating a series is not about fake patriotism,
Debu001,Thats why #rottentomatoes is more reliable. https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
dr42shav,@AllIndiaBakchod Seriously,among Indian TV I agree but this thing is currently above twin peaks, Blackadder and Fawlty towers. That's stupid,
SayMazhar,@AllIndiaBakchod Comparing to Indian TV standards. Pitchers is way better. But is not worth of top of IMDB. Way to go bro @TheViralFever,
jafurtado,All India Bakchod: Changing India…One Gag at a Time,By Henry Jenkins @henryjenkins /Confessions of an Aca-Fan http://henryjenkins.org/2015/09/all-india-bakchod-changing-india-one-gag-at-a-time.html#.dpuf …,
mickeysood,We have done it... Have you?? Plz rate #PitchersOnIMDB https://twitter.com/AllIndiaBakchod/status/639830683561492480 …,
SayMazhar,@AllIndiaBakchod Why are you so desperate to see it on top in IMDB. Do the ground work. It will reach automatically. @TheViralFever,
SayMazhar,@AllIndiaBakchod Do you think it is fair to do it? Because you know there are better TV shows which are already left out. @TheViralFever,
Chaitanya1501,@TheViralFever @AllIndiaBakchod TVF Pitchers finale was not the best work IMO.. Could have been better,
utkarshrai28,@TheViralFever @AllIndiaBakchod that's what I did the first thing after seeing the #PitchersFinale ..TVF Pitchers is creating a benchmark!!!,
MilanBarsopia,@AllIndiaBakchod @thetanmay Thanks for this. Respect,
rutvik_parekh,@AllIndiaBakchod loving this camaraderie between two biggest competitors of Indian comic scene ! https://twitter.com/thetanmay/status/639829987588046848 …,
1988critic,@AllIndiaBakchod look man. Top 5 under indian shieet tv shows. Not that good globally.,
mehtadeep,@TheViralFever @AllIndiaBakchod deserves it! Loved the series! Keep going @TheViralFever,
TheViralFever,Link: http://m.imdb.com/title/tt4742876/ … Thanks @AllIndiaBakchod <3 https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
KushagraBedi,Hahaga!!! https://twitter.com/AllIndiaBakchod/status/639830683561492480 …,
RathiRomil13,That's a nice gesture! https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
amalezishi,@AllIndiaBakchod with all due respect to @TheViralFever I won't, because this isn't how content should be rated.,
ShrenikKenia,And this is why @IMDb rankings are pointless. @RottenTomatoes #FTW https://twitter.com/allindiabakchod/status/639829987588046848 …,
muraribhartia,@AllIndiaBakchod @TheViralFever @gkhamba @thetanmay. Good to see both of my favourite Podcast helping each other to make a mark :),
Illumin_Adi,@AllIndiaBakchod stop trying to hype it. It's nowhere near top 10,
JullienAllard,#transmedia : All India Bakchod: Changing India…One Gag at a Time http://ow.ly/33F1p7 ,
ANH2102,4th and 5th episodes were horrendous! https://twitter.com/AllIndiaBakchod/status/639830683561492480 …,
vbagnihotri,@AllIndiaBakchod @TheViralFever Don't you think it's unfair to the other TV shows. They're their on the basis of merit, not promotion.,
vijay_nair,Do it. #PitchersonIMDB https://twitter.com/allindiabakchod/status/639829987588046848 …,
AllIndiaBakchod,Do it for every hour of bad television you've seen at home. #PitchersOnIMDB,
wickedlywacky,@AllIndiaBakchod @TheViralFever link toh de bhai, aalsi log hain,
Illumin_Adi,Talk about overhyping https://twitter.com/AllIndiaBakchod/status/639829987588046848 …,
AllIndiaBakchod,If you haven't voted for @TheViralFever's Pitchers to try and reach the top 10 on IMDB's 250 TV Shows, then do it RIGHT NOW!,
adityakalia11,@AllIndiaBakchod Describe The Present Scenario Of Bihar Elections In One Word #AIB,
indiacom,@AllIndiaBakchod A PROUD moment all you brilliant online comics should be celebrating with @TheViralFever http://www.india.com/showbiz/tvf-pitchers-reaches-top-spot-in-imdb-ratings-for-highest-rated-tv-seriesmini-series-534591/ …,
jomacorona,All India Bakchod: Changing India…One Gag at a Time http://ift.tt/1JTpqTi ,
makewithWP,@GoogleVentures @ImpactVancouver @TheViralFever @AllIndiaBakchod @allevents_India @WonderfulEngr @Wishberry_in https://twitter.com/PavanwithWP/status/639720626878476288 …,
CreativeIdeator,See how #QuikWallet treats their customer. @LogicalIndians @QuikWallet @AllIndiaBakchod pic.twitter.com/1mkCP04edr,
Opinia360,Hopelessness:The feeling when politicians disappoint you again #youDeservebetter @TheViralFever @AllIndiaBakchod pic.twitter.com/fGAwaPMR9c,
priyankaviyer,@thetanmay are you going to upload royal turds 2014 on the @AllIndiaBakchod YouTube channel? I loved that show,
Ashim_1986,Gajab competition de sakta hai @ArvindKejriwal @AllIndiaBakchod ki team ko. https://twitter.com/abhinawp/status/639710335855800320 …,
BlogwatiG,@ColorsTV Is #ComedyNightsBachao is the desi, sanskari(non-gali) version of #TheRoast ? @AllIndiaBakchod You ought to feel flattered.,
abhigyanb,Would love to see @allindiabakchod sit down for a chat with @cyrussaysin. Something tells me it would be awesome.,
nooruddinqur,All the members of @AllIndiaBakchod are really talented.,
GurmeharKhanna,@AllIndiaBakchod u guys are in Aurangabad, can u pls pls pls do a fan meet! I'm dying to meet u guys! Pls pls pls pls pls pls pls pls pls...,
AJITHURA,What actually happened plz zoom. @chintskap @ArshadWarsi @IndiaSpeaksPR @iam_juhi @AllIndiaBakchod pic.twitter.com/4l5B7ZWyw4,
niharkudalkar,@AllIndiaBakchod Hey guys do you have any plans for the next stage show in Pune.,
malikgarv,@TheViralFever to @AllIndiaBakchod : hum beer hai. Tum kya ho. AIB: humare paas @gkhamba hai. Lamest shit on facebook today,
WeAreMumbai,@preetamsalian @kalyanrath, @knowkenny, @abishmathew, @AllIndiaBakchod, @EastIndiaComedy, @TheViralFever and SnGComedyIN to name a few. :'),
rashika_sparks,Watched #AIBroast again. @AllIndiaBakchod you guys are amazing!!,
taRUNmasani,I also with, the team @AllIndiaBakchod answer this video https://www.youtube.com/watch?v=Kx5LS38aYBk&feature=youtu.be … specially @thetanmay,
rj_ankush007,@AllIndiaBakchod waiting for the next eXclusive Video...please upload it soon @mojorojo @thetanmay .. #AIB rockXXX!,
FedfanTejal,@TheBanat @EastIndiaComedy @harsh_shah811 @SnGComedyIN @AllIndiaBakchod If you're up for suggestions, u could fly solo.,
TheBanat,@EastIndiaComedy @FedfanTejal @harsh_shah811 @SnGComedyIN FINE I'm sending an application to @AllIndiaBakchod,
iamnaman30,@AllIndiaBakchod i think nice way to sent an aplogy is to retweet and say you guys are very kooll... https://twitter.com/AllIndiaBakchod/status/638228343851085824 …,
iamnaman30,@AllIndiaBakchod @TheViralFever my mistake... but you are awesome to.. eagerly waiting fr your sketch...,
AudiPhotography,@AllIndiaBakchod can you please get the airports to play your video before every flight?,
JafferyNida1,@AllIndiaBakchod yar me bht funny hoon. Aur bht ghareeb hun. Mjhy hire krlo?,
retardedwriter,Media channels are the real All India Bakchod.,
AllIndiaBakchod,@iamnaman30 Check out @AllIndiaBakchod's Tweet: https://twitter.com/AllIndiaBakchod/status/638228343851085824?s=09 …,
akhileshmoghe,@TheViralFever @AllIndiaBakchod you have proved my following thought exactly... Waiting for #PermanentRoommates pic.twitter.com/VaN6yiW3N7,
iamnaman30,Now srk and salman appreciate each other work, but no comments on @TheViralFever for #pitchers from @AllIndiaBakchod that is unkool,
georgeapproves,Faith in humanity restored. #PornHubCares. Check it out @verge @TheTweetOfGod @RGVzoomin @AllIndiaBakchod https://twitter.com/BuzzFeed/status/639108776260411392 …,
trendcrusher,Ask @AllIndiaBakchod https://twitter.com/hardik/status/639047303718809601 …,
sarcasticfun,@AllIndiaBakchod @AksharPathak so this is gonna be like epic designer + epic people=epic disaster. Too much of epicness.,
Bachchanite,Loved @irrfan_k in @AllIndiaBakchod's song! It is amazing! A thrash on those that do shit via party songs.,
nosoupforyoo,So here i go writing the guys at @AllIndiaBakchod for a job, AGAIN. My fav story as kid was the thirsty crow.,
fahadmh,Thank you @AllIndiaBakchod for this gift. Made my day. :) pic.twitter.com/c62YwmEkgi,
Pooja_Dave,xD https://twitter.com/AllIndiaBakchod/status/638767539024101377 …,
aniketakj,@AksharPathak is moving to @AllIndiaBakchod... Now waiting to see honest Indian movie (minimal),
amit12354,@AksharPathak welcome to Mumbai & best wishes with @AllIndiaBakchod Rock It :),
2emkay,@AllIndiaBakchod you hiring kya?,
RajiYM,@AllIndiaBakchod ke din nikal pade! Hero @AksharPathak coming...... https://twitter.com/MirrorCracklin/status/638792551139557376 …,
AlertTrade,How an internet show on startups delivered a stinging blow… http://dlvr.it/C2GMM3  #Uncategorized #AllIndiaBakchod #AnuragRathor #TopNews,
RajiYM,@AllIndiaBakchod @AksharPathak OMG! U will shine wherever u go. Look forward to ur creativity as always.,
neelakshmathur,Holy shit! @AksharPathak is joining @AllIndiaBakchod . 2 of my biggest inspirations coming together. Congratulations!,
SolankiSohail,@AllIndiaBakchod sir today is my birth day can U Plzz wish mee,
BMukeshJayaswal,Listen to this chill video of @AllIndiaBakchod feat @irrfan_k nothing aweful in it ,infactly said the real topics. Enjoy the video.,
Aakriti_Sinha,Whoa. So this happened. Very interesting @AksharPathak and all the best! Trust @AllIndiaBakchod'ish welcome tweet :) https://twitter.com/AllIndiaBakchod/status/638767539024101377 …,
GowrongAlot,Confirmed! @AllIndiaBakchod sign @AksharPathak for an undisclosed fee. Akshar will join the team in Mumbai from next week. #DeadlineDay,
shruthijha3,India's best Comedians, Tanmay Bhat, know all about him and all that he did before forming All India Bakchod! http://goo.gl/MTlvq5 ,
peeteeonyou,I think most shocking #DeadlineDayTransfer was @AksharPathak to @AllIndiaBakchod.,
WannabeSanyasin,@AllIndiaBakchod got funding kya?,
SehgalTashmeet,Just watched MSG: The messenger I swear i had tears in my eyes amazing dialogue delivery must watch @AllIndiaBakchod review it please,
akashbansal218,@AllIndiaBakchod @Beingind @TheViralFever i request u guyz to plz plz plz make a video as a rply 2 faisal qureshi's video on india.,
sabkilelo,@AllIndiaBakchod when he lands in Mumbai, all you have to say "Chu**ye, hum to Mazaak kar rahe the, tune seriously le lia?" @AksharPathak,
Fundoo_Maharaj,@AllIndiaBakchod Not a promising way to welcome your new employee! :P,
TheSoberStud,The best Deadline Day move was @AksharPathak from @Zomato to @AllIndiaBakchod for an undisclosed amount.,
simplybhawana,@AllIndiaBakchod Our most talented athlete @100thofasec needs funds to represent our country.Let's stand up for him! http://www.youngisthan.in/other-sports/shocking-how-winter-olympian-shiva-keshavan-is-forced-to-quit-luge/34476 …,
QuirkyChokro,@AllIndiaBakchod @AksharPathak Just when you thought that AIB couldn't get better.,
Old_Soothsayer,@AllIndiaBakchod @AksharPathak the soothsayer prophecy - u will end up in jail 1 yr after joining AIB...and AIB will be banned,
KhuranaPrateek,This is a message. New Era. https://twitter